,시도코드,시도명,시군구명,인당시설수,인당시설수순위,양호시설비율,주의필요시설비율,2019비만유병률_표준화율 (%),2019걷기실천율_표준화율 (%),2019스트레스인지율_표준화율 (%),2019연간체중조절시도율_표준화율 (%),2019중증도이상신체활동실천율_표준화율 (%),주거지역,상업지역,공업지역,녹지지역,수도권여부,y,grade
131,33360,충청북도,괴산군,7.9e-05,134.6,0.0,1.0,40.9,35.6,16.8,75.0,43.9,15.84,1.43,14.38,68.35,비수도권,53.5,B
132,33370,충청북도,음성군,0.00021,91.0,0.9761904761904762,0.0238095238095238,39.9,23.9,27.3,66.8,17.0,26.29,3.25,31.88,38.59,비수도권,51.2,B
133,33380,충청북도,단양군,0.000119,100.5,1.0,0.0,38.8,38.1,19.3,58.2,31.6,6.59,1.17,6.87,85.37,비수도권,59.4,A
134,33390,충청북도,증평군,0.000148,73.4,0.9743589743589745,0.0256410256410256,38.0,32.1,29.1,57.5,26.5,21.21,1.83,12.11,64.85,비수도권,51.1,B
135,34010,충청남도,천안시,0.000121,118.3,0.9629629629629628,0.037037037037037,33.4,45.5,33.2,60.1,30.9,24.34,2.26,11.23,62.18,비수도권,54.7,B
136,34020,충청남도,공주시,0.000119,140.5,1.0,0.0,39.9,36.1,28.7,66.5,24.2,10.03,0.86,5.54,83.57,비수도권,64.0,A
137,34030,충청남도,보령시,0.000103,135.6,1.0,0.0,32.3,25.0,25.1,51.1,26.4,16.1,2.08,18.71,63.12,비수도권,53.9,B
138,34040,충청남도,아산시,9.9e-05,112.4,0.8,0.2,38.6,42.7,25.9,68.4,29.9,21.37,2.77,16.92,53.79,비수도권,57.2,A
139,34050,충청남도,서산시,8.2e-05,146.2,0.9572649572649572,0.0427350427350427,37.1,50.5,32.8,67.1,26.7,6.24,0.52,13.71,53.47,비수도권,50.4,B
140,34060,충청남도,논산시,9.6e-05,119.4,0.7777777777777778,0.2222222222222222,39.8,32.8,27.8,56.8,17.0,15.45,1.38,3.7,79.47,비수도권,53.9,B
141,34070,충청남도,계룡시,0.000182,95.7,1.0,0.0,29.9,33.3,23.9,67.5,20.8,7.63,0.67,1.5,90.2,비수도권,62.4,A
142,34080,충청남도,당진시,0.000123,111.3,0.926829268292683,0.073170731707317,36.7,41.5,25.9,66.3,20.5,13.51,2.26,44.71,39.51,비수도권,53.9,B
143,34310,충청남도,금산군,0.000117,125.8,0.9444444444444444,0.0555555555555555,38.2,28.3,25.8,52.3,23.9,13.41,1.35,3.57,81.67,비수도권,59.1,A
144,34330,충청남도,부여군,7.2e-05,155.6,1.0,0.0,32.5,19.2,22.6,54.2,20.9,8.0,1.44,0.55,90.02,비수도권,60.2,A
145,34340,충청남도,서천군,8.400000000000001e-05,124.6,0.9772727272727272,0.0227272727272727,41.9,24.7,31.4,64.4,25.1,19.31,2.24,16.72,58.67,비수도권,51.1,B
146,34350,충청남도,청양군,0.000128,129.4,0.9,0.1,38.5,23.5,20.8,58.5,25.2,22.4,2.01,5.72,69.87,비수도권,54.5,B
147,34360,충청남도,홍성군,2.3e-05,170.1,0.9428571428571428,0.0571428571428571,39.8,32.5,36.4,61.0,23.0,25.19,2.75,6.35,65.44,비수도권,56.5,A
148,34370,충청남도,예산군,0.000389,57.6,1.0,0.0,35.3,28.3,33.7,63.2,17.9,18.11,1.63,10.58,69.67,비수도권,49.1,B
149,34380,충청남도,태안군,8.3e-05,143.4,1.0,0.0,36.5,30.1,27.2,50.3,23.5,12.83,4.94,12.4,69.81,비수도권,45.1,B
150,35010,전라북도,전주시,0.000127,109.5,0.924812030075188,0.075187969924812,31.0,42.9,27.0,71.7,24.0,18.76,2.39,3.66,75.19,비수도권,46.1,B
151,35020,전라북도,군산시,0.000129,115.8,0.7272727272727273,0.2727272727272727,33.9,31.5,28.4,64.2,18.9,9.14,2.05,13.44,40.02,비수도권,59.8,A
